The Warrior Who Carried Life,Geoff Ryman
Marie,H Rider Haggard
King Solomon's Mines,H Rider Haggard
The Green Round,Arthur Machen
The Terror,Arthur Machen
The Secret Glory,Arthur Machen
A Fragment Of Life,Arthur Machen
The Hill Of Dreams,Arthur Machen
The Three Impostors,Arthur Machen
The Chronicle Of Clemendy,Arthur Machen
Fane,David M Alexander
The Chocolate Spy,David M Alexander
Whirlwind,David Alexander
Metalstorm,David Alexander
Ground Zero,David Alexander
Dark Messiah,David Alexander
The Queen Of Sheba,Thomas Bailey Aldrich
Pansy's Wish,Thomas Bailey Aldrich
Dracula Unbound,Brian Aldiss
Moreau's Other Island,Brian Aldiss
Brothers Of The Head,Brian Aldiss
The Eighty-Minute Hour,Brian Aldiss
Report On Probability A,Brian Aldiss
Earthworks,Brian Aldiss
Greybeard,Brian Aldiss
The Dark Light Years,Brian Aldiss
The Long Afternoon Of Earth,Brian Aldiss
The Primal Urge,Brian Aldiss
Bow Down To Nul,Brian Aldiss
Vanguard From Alpha,Brian Aldiss
Non-Stop,Brian Aldiss
The Land Beyond,Gill Alderman
The Archivist,Gill Alderman
Revenge Of The Seventh Carrier,Peter Albano
Trial Of The Seventh Carrier,Peter Albano
Attack Of The Seventh Carrier,Peter Albano
Return Of The Seventh Carrier,Peter Albano
The Second Voyage Of The Seventh Carrier,Peter Albano
The Seventh Carrier,Peter Albano
Walk The Moons Road,Jim Aikin
World Well Lost,John Aiken
The Kamikaze Legacy,Jerry Ahern
Werewolvess,Jerry Ahern
Miamigrad,Jerry Ahern
The Freeman,Jerry Ahern
River Of Gold,Jerry Ahern
The Takers,Jerry Ahern
No Survivors,Jerry Ahern
The Challenge,Jerry Ahern
The Good Fight,Jerry Ahern
Death Grip,Jerry Ahern
Justice Denied,Jerry Ahern
Vengeance,Jerry Ahern
Escape,Jerry Ahern
Entrapment,Jerry Ahern
Decision Time,Jerry Ahern
Out Of Control,Jerry Ahern
The Killing Wedge,Jerry Ahern
The Battle Begins,Jerry Ahern
Mid-Wake,Jerry Ahern
The Legend,Jerry Ahern
Death Watch,Jerry Ahern
Countdown,Jerry Ahern
War Mountain,Jerry Ahern
Blood Assassins,Jerry Ahern
Call To Battle,Jerry Ahern
Brutal Conquest,Jerry Ahern
... To End All War,Jerry Ahern
Firestorm,Jerry Ahern
Final Rain,Jerry Ahern
The Struggle,Jerry Ahern
The Ordeal,Jerry Ahern
The Arsenal,Jerry Ahern
Overlord,Jerry Ahern
The Terror,Jerry Ahern
Pursuit,Jerry Ahern
The Rebellion,Jerry Ahern
The Reprisal,Jerry Ahern
The Awakening,Jerry Ahern
Earth Fire,Jerry Ahern
The End Is Coming,Jerry Ahern
The Prophet,Jerry Ahern
The Savage Horde,Jerry Ahern
The Web,Jerry Ahern
The Doomsayer,Jerry Ahern
The Quest,Jerry Ahern
The Nightmare Begins,Jerry Ahern
Total War,Jerry Ahern
The Interpreters,AE
Multiface,Mark Adlard
Volteface,Mark Adlard
Interface,Mark Adlard
The Master Of Chaos,Terry A Adams
Sentience,Terry A Adams
The Mystery,Samuel Hopkins Adams
The Sign At Six,Stewart Edward White
Monsters And Magicians,Robert Adams
Stairway To Forever,Robert Adams
Of Beginnings And Endings,Robert Adams
Of Myths And Monsters,Robert Adams
Of Chiefs And Champions,Robert Adams
Of Quests And Kings,Robert Adams
The Seven Magical Jewels Of Ireland,Robert Adams
Castaways In Time,Robert Adams
The Clan Of The Cats,Robert Adams
Madman's Army,Robert Adams
Trumpets Of War,Robert Adams
The Memories Of Milo Morai,Robert Adams
A Man Called Milo Morai,Robert Adams
Horses Of The North,Robert Adams
A Woman Of The Horseclans,Robert Adams
Champion Of The Last Battle,Robert Adams
Bili The Axe,Robert Adams
The Witch Goddess,Robert Adams
The Death Of A Legend,Robert Adams
Horseclans Odyssey,Robert Adams
The Patrimony,Robert Adams
The Savage Mountains,Robert Adams
Revenge Of The Horseclans,Robert Adams
Swords Of The Horseclans,Robert Adams
The Coming Of The Horseclans,Robert Adams
Mostly Harmless,Douglas Adams
A New Eden,Andrew Acworth
Hawksmoor,Peter Ackroyd
Empire Of The Senseless,Kathy Acker
Don Quixote,Kathy Acker
The Twilight Of The Vilp,Paul Ableman
I Hear Voices,Paul Ableman
Hayduke Lives!,Edward Abbey
Good News,Edward Abbey
The Monkey Wrench Gang,Edward Abbey
The Far Frontier,William Rotsler
The Hidden Worlds Of Zandra,William Rotsler
Zandra,William Rotsler
To The Land Of The Electric Angel,William Rotsler
Patron Of The Arts,William Rotsler
Reclamation,Sarah Zettel
Looking For The Mahdi,N Lee Wood
Let's Put The Future Behind Us,Jack Womack
Bellwether,Connie Willis
The Black Sun,Jack Williamson
Hunter's Oath,Michelle West
Exile's Children,Angus Wells
Flag In Exile,David Weber
Mennyms Under Siege,Sylvia Waugh
Whiteout,Sage Walker
The Gates Of Twilight,Paula Volsky
Dreamfall,Joan D Vinge
Worldwar,Harry Turtledove
Worldwar,Harry Turtledove
Worldwar,Harry Turtledove
Worldwar,Harry Turtledove
Echoes Of Issel,Diann Thornley
The Color Of Distance,Amy Thomson
Shards Of Empire,Susan Shwartz
Silicon Embrace,John Shirley
Archangel,Sharon Shinn
A Handbook Of American Prayer,Lucius Shepard
The Ganymede Club,Charles Sheffield
Point Of Hopes,Lisa A Barnett
The Godmother's Apprentice,Elizabeth Ann Scarborough
Delta City,Felicity Savage
Sea Without A Shore,Sean Russell
Victory,Kristine Kathryn Rusch
Sacrifice,Kristine Kathryn Rusch
Changeling,Kristine Kathryn Rusch
The Rival,Kristine Kathryn Rusch
The Resistance,Kristine Kathryn Rusch
Blue Mars,Kim Stanley Robinson
An Exaltation Of Larks,Robert Reed
Burn,Bill Ransom
The Perfect Princess,Irene Radford
Men At Arms,Terry Pratchett
Interesting Times,Terry Pratchett
Soul Music,Terry Pratchett
Lords And Ladies,Terry Pratchett
Higher Education,Jerry Pournelle
Protektor,Charles Platt
Lost In Cyberspace,Richard Peck
The Lord Of Horses,Diana L Paxson
Foragers,Charles Oberndorf
Door Number Three,Patrick O'Leary
The Gift,Patrick O'Leary
The Bloody Red Baron,Kim Newman
Quasar,Jamil Nasir
Tech-Heaven,Linda Nagata
Bloodsucking Fiends,Christopher Moore
Blood,Michael Moorcock
The Resurrectionist,Thomas F Monteleone
The Blood Of The Covenant,Brent Monahan
Richter 10,Arthur C Clarke
Caverns Of Socrates,Dennis L Mckiernan
Chaga,Ian Mcdonald
Magnificat,Julian May
The Golden Nineties,Lisa Mason
Virgins And Martyrs,Simon Maginn
The First Century After Beatrice,Amin Maalouf
Necroscope,Brian Lumley
Necroscope Ii,Brian Lumley
Necroscope Iii,Brian Lumley
Necroscope Iv,Brian Lumley
Necroscope V,Brian Lumley
Necroscope,Brian Lumley
Shadow Moon,Chris Claremont
Shadow Dawn,Chris Claremont
Sympathy For The Devil,Holly Lisle
Smoke And Mirrors,Jane Lindskold
The Pipes Of Orpheus,Jane Lindskold
Memento Mori,Shariann Lewitt
Amnesia Moon,Jonathan Lethem
Elephantasm,Tanith Lee
The 37Th Mandala,Marc Laidlaw
Storm Rising,Mercedes Lackey
The Silver Gryphon,Larry Dixon
The Fire Rose,Mercedes Lackey
Two Crowns For America,Katherine Kurtz
Before The Storm,Michael P Kube-Mcdowell
Oaths And Miracles,Nancy Kress
Night Calls,Katharine Eliska Kimbriel
The Hedge Of Mist,Patricia Kennealy-Morrison
Panda Ray,Michael Kandel
A Man Betrayed,JV Jones
North Wind,Gwyneth Jones
The Crown Of Dalemark,Diana Wynne Jones
River Of Dust,Alexander Jablokov
Paths To Otherwhere,James P Hogan
The Silent Strength Of Stones,Nina Kiriki Hoffman
Royal Assassin,Robin Hobb
Assassin's Quest,Robin Hobb
The Nature Of Smoke,Anne Harris
Cataract,Tara K Harper
"The Chess Garden, Or, The Twilight Letters Of Gustav Uyterhoeven",Brooks Hansen
The War Minstrels,Karen Haber
Seasons Of Plenty,Colin Greenland
The Plenty Principle,Colin Greenland
Shadow Of Ashland,Terence M Green
Wildside,Steven Gould
The Bones Of Time,Kathleen Ann Goonan
Stone Of Tears,Terry Goodkind
Walking The Labyrinth,Lisa Goldstein
The Double Tongue,William Golding
The Tower Of Beowulf,Parke Godwin
Waylander,David Gemmell
Dragon Sleeping,Craig Shaw Gardner
Dragon Waking,Craig Shaw Gardner
Dragon Burning,Craig Shaw Gardner
Sword Of Flame,Maggie Furey
Cain's Land,Robert Frezza
Season Of Storms,Ellen Foxxe
Mid-Flinx,Alan Dean Foster
Killjoy,Elizabeth Forrest
Rise Of A Merchant Prince,Raymond E Feist
Rage Of A Demon King,Raymond E Feist
Magician,Raymond E Feist
Prisoner's Hope,David Feintuch
Present Tense,Dave Duncan
Past Imperative,Dave Duncan
The Two Georges,Richard Dreyfuss
Stepwater,L Warren Douglas
The Gap Into Ruin,Stephen R Donaldson
The Dragon And The Djinn,Gordon R Dickson
The Dragon & The Gnarly King,Gordon R Dickson
Eggheads,Emily Devenport
The Memory Cathedral,Jack Dann
Counting Coup,Jack Dann
The Lost World,Michael Crichton
Glory's People,Alfred Coppel
Star Ascendant,Louise Cooper
Bleak Seasons,Glen Cook
The Warrior Returns,Allan Cole
Inheritor,CJ Cherryh
Dead Boys,Richard Calder
The Off Season,Jack Cady
Shadow Warrior,Chris Bunch
Cetaganda,Lois Mcmaster Bujold
Orca,Steven Brust
First King Of Shannara,Terry Brooks
Exile's Song,Marion Zimmer Bradley
Brothers,Ben Bova
All The Bells On Earth,James P Blaylock
Pirates Of The Universe,Terry Bisson
Headcrash,Bruce Bethke
Sailing Bright Eternity,Gregory Benford
The Dove Looked In,Gaèl Baudino?Gael Baudino
O Greenest Branch!,Gaèl Baudino?Gael Baudino
Branch And Crown,Gaèl Baudino?Gael Baudino
One For The Morning Glory,John Barnes
Lost In Translation,Margaret Ball
Psykosis,Wilhelmina Baird
Project Farcry,Pauline Ashwell
The Jigsaw Woman,Kim Antieau
Cradle Of Splendor,Patricia Anthony
Harvest The Fire,Poul Anderson
Virtual Destruction,Kevin J Anderson
Blindfold,Kevin J Anderson
The Salmon Of Doubt,Douglas Adams
The Psalms Of Herod,Esther M Friesner
Traveling With The Dead,Barbara Hambly
Kingdom Of The Grail,AA Attanasio
Arthor,AA Attanasio
The Dragon And The Unicorn,AA Attanasio
The Lighthouse At The End Of The World,Milton Lesser
Earthbound,Milton Lesser
The Star Seekers,Milton Lesser
Stadium Beyond The Stars,Milton Lesser
Spacemen Go Home,Milton Lesser
Practical Magic,Alice Hoffman
Expiration Date,Tim Powers
Deadrush,Yvonne Navarro
Superstitious,RL Stine
Anti-Ice,Stephen Baxter
Voyage,Stephen Baxter
Flux,Stephen Baxter
The Time Ships,Stephen Baxter
Rock Of Ages,Walter Jon Williams
Yvgenie,CJ Cherryh
Chernevog,CJ Cherryh
Well Of Shiuan,CJ Cherryh
Invader,CJ Cherryh
Port Eternity,CJ Cherryh
The Vindication,CJ Cherryh
The Rebirth,CJ Cherryh
The Betrayal,CJ Cherryh
Star Ways,Poul Anderson
Virgin Planet,Poul Anderson
The Snows Of Ganymede,Poul Anderson
Starship,Poul Anderson
Cold Victory,Poul Anderson
Orion Shall Rise,Poul Anderson
Maurai & Kith,Poul Anderson
New America,Poul Anderson
Orbit Unlimited,Poul Anderson
Harvest Of Stars,Poul Anderson
A Quest For Simbilis,Michael Shea
The Color Out Of Time,Michael Shea
Time And Again,Jack Finney
From Time To Time,Jack Finney
The Body Snatchers,Jack Finney
Orion And The Conqueror,Ben Bova
Orion In The Dying Time,Ben Bova
Vengeance Of Orion,Ben Bova
Escape Plus,Ben Bova
Orion,Ben Bova
As On A Darkling Plain,Ben Bova
The Dueling Machine,Ben Bova
Star Watchman,Ben Bova
The Star Conquerors,Ben Bova
End Of Exile,Ben Bova
Flight Of Exiles,Ben Bova
Exiled From Earth,Ben Bova
A Covenant Of Justice,David Gerrold
Under The Eye Of God,David Gerrold
Nicoji,M Shayne Bell
Planet Of Exile,Ursula K Le Guin
Rocannon's World,Ursula K Le Guin
War Of Nerves,Joe Haldeman
Attar's Revenge,Joe Haldeman
Tool Of The Trade,Joe Haldeman
Voyage Of The Star Wolf,David Gerrold
Deathbeast,David Gerrold
Chess With A Dragon,David Gerrold
A Season For Slaughter,David Gerrold
A Rage For Revenge,David Gerrold
Space Skimmer,David Gerrold
The Flying Sorcerers,David Gerrold
Encounter At Farpoint,David Gerrold
Under Heaven's Bridge,Michael Bishop
Brightness Reef,David Brin
Hot Sleep,Orson Scott Card
Capitol,Orson Scott Card
The Abyss,Orson Scott Card
Alvin Journeyman,Orson Scott Card
Jago,Kim Newman
Bad Dreams,Kim Newman
The Night Mayor,Kim Newman
Belinda,Anne Rice
Exit To Eden,Anne Rice
Cry To Heaven,Anne Rice
The Mummy,Anne Rice
The Feast Of All Saints,Anne Rice
Memnoch The Devil,Anne Rice
Interview With The Vampire,Anne Rice
Light Raid,Cynthia Felice
Water Witch,Cynthia Felice
Doctor's Orders,Diane Duane
The Joy Machine,James Gunn
High Wizardry,Diane Duane
Deep Wizardry,Diane Duane
So You Want To Be A Wizard,Diane Duane
The Door Into Sunset,Diane Duane
The Door Into Shadow,Diane Duane
The Door Into Fire,Diane Duane
Revelation,David Bischoff
Deception,David Bischoff
Abduction,David Bischoff
The Macrocosmic Conflict,David Bischoff
Galactic Warriors,David Bischoff
The Infinite Battle,David Bischoff
Star Spring,David Bischoff
Star Fall,David Bischoff
Vampires Of Nightworld,David Bischoff
Nightworld,David Bischoff
My Brother's Keeper,Charles Sheffield
Trader's World,Charles Sheffield
Cold As Ice,Charles Sheffield
The Selkie,David Bischoff
Tin Woodman,Dennis R Bailey
Dragonstar,David Bischoff
Dragonstar Destiny,David F Bischoff
Night Of The Dragonstar,David Bischoff
Day Of The Dragonstar,David F Bischoff
Forbidden World,David Bischoff
The Seeker,David Bischoff
The Running Man,Stephen King
The Long Walk,Stephen King
Beyond Heaven's River,Greg Bear
Psychlone,Greg Bear
Hegira,Greg Bear
Assault On Alpha Base,Doug Beason
Return To Honor,Doug Beason
Champions Of The Force,Kevin J Anderson
Dark Apprentice,Kevin J Anderson
Jedi Search,Kevin J Anderson
Game's End,Kevin J Anderson
Gameplay,Kevin J Anderson
Gamearth,Kevin J Anderson
Lifeline,Kevin J Anderson
Ill Wind,Kevin J Anderson
The Opening Of The Eyes,Olaf Stapledon
The Flames,Olaf Stapledon
Old Man In New World,Olaf Stapledon
Sirius,Olaf Stapledon
Death Into Life,Olaf Stapledon
Darkness And The Light,Olaf Stapledon
Odd John,Olaf Stapledon
Last Men In London,Olaf Stapledon
Last And First Men,Olaf Stapledon
A Man Divided,Olaf Stapledon
Changing Fate,Elisabeth Waters
The Imperium Game,KD Wentworth
This Side Of Judgment,JR Dunn
Aggressor Six,Wil Mccarthy
Mistwalker,Denise Lopes Heald
Becoming Human,Valerie J Freireich
"Brother To Dragons, Companion To Owls",Jane Lindskold
The Woman Between The Worlds,F Gwynplaine Macintyre
Aurian,Maggie Furey
Wizard's First Rule,Terry Goodkind
Challenger's Hope,David Feintuch
Midshipman's Hope,David Feintuch
Witch And Wombat,Carolyn Cushman
Queen City Jazz,Kathleen Ann Goonan
Wyrldmaker,Terry Bisson
Quarantine,Greg Egan
An Unusual Angle,Greg Egan
The Nanotech Chronicles,Michael Flynn
Fallen Angels,Michael Flynn
Soothsayer,Mike Resnick
The Red Tape War,Jack L Chalker
Lucifer Jones,Mike Resnick
Adventures,Mike Resnick
The Branch,Mike Resnick
Walpurgis Iii,Mike Resnick
Stalking The Unicorn,Mike Resnick
The Soul Eater,Mike Resnick
Eros At Nadir,Mike Resnick
Eros Descending,Mike Resnick
Eros At Zenith,Mike Resnick
Eros Ascending,Mike Resnick
The Best Rootin' Tootin' Shootin' Gunslinger In The Whole Damned Galaxy,Mike Resnick
The Wild Alien Tamer,Mike Resnick
The Three-Legged Hootch Dancer,Mike Resnick
Sideshow,Mike Resnick
Inferno,Mike Resnick
Purgatory,Mike Resnick
Paradise,Mike Resnick
Redbeard,Mike Resnick
Pursuit On Ganymede,Mike Resnick
Prophet,Mike Resnick
Oracle,Mike Resnick
The Continent Of Lies,James Morrow
The Wine Of Violence,James Morrow
Sin Of Origin,John Barnes
Wartide,John Barnes
The Man Who Pulled Down The Sky,John Barnes
Stolen Faces,Michael Bishop
And Strange At Ecbatan The Trees,Michael Bishop
Brain Rose,Nancy Kress
The White Pipes,Nancy Kress
The Golden Grove,Nancy Kress
The Prince Of Morning Bells,Nancy Kress
The Gnole,Alan Aldridge
Ariel,Steven R Boyett
The Voyage,David Drake
The Sharp End,David Drake
The Warrior,David Drake
Rolling Hot,David Drake
Counting The Cost,David Drake
At Any Price,David Drake
Cross The Stars,David Drake
Lord Of The Two Lands,Judith Tarr
Skin,Kathe Koja
Days Of Atonement,Walter Jon Williams
Elegy For Angels And Dogs,Walter Jon Williams
Ambassador Of Progress,Walter Jon Williams
Metropolitan,Walter Jon Williams
Nightworld,F Paul Wilson
Pandora By Holly Hollander,Gene Wolfe
Nightside The Long Sun,Gene Wolfe
Lake Of The Long Sun,Gene Wolfe
Caldé Of The Long Sun,Gene Wolfe
Exodus From The Long Sun,Gene Wolfe
Dead & Buried,Chelsea Quinn Yarbro
Usher's Passing,Robert R Mccammon
They Thirst,Robert R Mccammon
The Night Boat,Robert R Mccammon
Mystery Walk,Robert R Mccammon
Gone South,Robert R Mccammon
Bethany's Sin,Robert R Mccammon
Baal,Robert R Mccammon
Winter Scream,Chris Curry
Wilderness,Dennis Danvers
Wet Work,Philip Nutman
Unearthed,Ashley Mcconnell
The Lilith Factor,Jean Paiva
The Holy Terror,Wayne Allen Sallee
The Harvest Bride,Tony Richards
The Dwelling,Tom Elliott
The Black Mariah,Jay R Bonansinga
Suckers,Anne Billson
Slob,Rex Miller
"Resurrection, Inc.",Kevin J Anderson
Nightblood,T Chris Martindale
Near Death,Nancy Kilpatrick
Less Than Human,Gary Raisor
Laying The Music To Rest,Dean Wesley Smith
Goat Dance,Douglas Clegg
Fear Book,John L Byrne
Excavation,Steve Rasnic Tem
Demon Night,J Michael Straczynski
Deliver Us From Evil,Allen Lee Harris
Deadweight,Robert Devereaux
Walking Wounded,Robert Devereaux
Dark Father,Tom Piccirilli
Created By,Richard Christian Matheson
Cities Of The Dead,Michael Paine
Beauty,Brian D'Amato
Afterage,Yvonne Navarro
Prince Of Chaos,Roger Zelazny
Knight Of Shadows,Roger Zelazny
The Bells Of Shoredan,Roger Zelazny
The Probability Broach,L Neil Smith
Concert And Cosmos,L Neil Smith
Contact And Commune,L Neil Smith
Pallas,L Neil Smith
The Wardove,L Neil Smith
The Venus Belt,L Neil Smith
Tom Paine Maru,L Neil Smith
Their Majesties' Bucketeers,L Neil Smith
Taflak Lysandra,L Neil Smith
The Nagasaki Vector,L Neil Smith
Lando Calrissian And The Starcave Of Thonboka,L Neil Smith
Lando Calrissian And The Mindharp Of Sharu,L Neil Smith
Lando Calrissian And The Flamewind Of Oseon,L Neil Smith
Henry Martyn,L Neil Smith
The Gallatin Divergence,L Neil Smith
The Crystal Empire,L Neil Smith
Converse And Conflict,L Neil Smith
Brightsuit Macbear,L Neil Smith
When Death Birds Fly,Andrew J Offutt
Web Of The Spider,Richard Lyon
The Undying Wizard,Andrew J Offutt
The Tower Of Death,Andrew J Offutt
Sword Of The Gael,Andrew J Offutt
The Sign Of The Moonbow,Andrew J Offutt
Shadowspawn,Andrew J Offutt
Shadows Out Of Hell,Andrew J Offutt
My Lord Barbarian,Andrew J Offutt
The Mists Of Doom,Andrew J Offutt
Messenger Of Zhuvastou,Andrew J Offutt
The Lady Of The Snowmist,Andrew J Offutt
King Dragon,Andrew J Offutt
The Iron Lords,Andrew J Offutt
Genetic Bomb,D Bruce Berry
The Galactic Rejects,Andrew J Offutt
The Eyes Of Sarsis,Richard Lyon
Evil Is Live Spelled Backwards,Andrew J Offutt
The Demon In The Mirror,Richard K Lyon
Deathknight,Andrew J Offutt
Conan The Mercenary,Andrew J Offutt
The Sword Of Skelos,Andrew J Offutt
Conan And The Sorcerer,Andrew J Offutt
Chieftain Of Andor,Andrew J Offutt
The Castle Keeps,Andrew J Offutt
Ardor On Aros,Andrew J Offutt
Lunar Descent,Allen Steele
Man Of Earth,Algis Budrys
False Night,Algis Budrys
The Falling Torch,Algis Budrys
The Amsirs And The Iron Thorn,Algis Budrys
The Deceivers,Alfred Bester
Nimbus,Alexander Jablokov
Night,Alan Rodgers
Blood Of The Children,Alan Rodgers
The Universe Between,Alan E Nourse
Trouble On Titan,Alan E Nourse
Star Surgeon,Alan E Nourse
Scavengers In Space,Alan E Nourse
Raiders From The Rings,Alan E Nourse
The Mercy Men,Alan E Nourse
The Invaders Are Coming!,JA Meyer
The Fourth Horseman,Alan E Nourse
The Bladerunner,Alan E Nourse
A Man Obsessed,Alan E Nourse
Rocket To Limbo,Alan E Nourse
City Of Masques,Alan Brennert
False Fatherland,A Bertram Chandler
The Wild Ones,A Bertram Chandler
The Way Back,A Bertram Chandler
To Prime The Pump,A Bertram Chandler
To Keep The Ship,A Bertram Chandler
Star Loot,A Bertram Chandler
Star Courier,A Bertram Chandler
Space Mercenaries,A Bertram Chandler
The Sea Beasts,A Bertram Chandler
The Road To The Rim,A Bertram Chandler
The Ship From Outside,A Bertram Chandler
Nebula Alert,A Bertram Chandler
Matilda's Stepchildren,A Bertram Chandler
The Last Amazon,A Bertram Chandler
Foreword To The U.S. Edition (Kelly Country),A Bertram Chandler
Into The Alternate Universe,A Bertram Chandler
The Inheritors,A Bertram Chandler
The Hamelin Plague,A Bertram Chandler
The Gateway To Never,A Bertram Chandler
Frontier Of The Dark,A Bertram Chandler
The Far Traveler,A Bertram Chandler
The Dark Dimensions,A Bertram Chandler
The Coils Of Time,A Bertram Chandler
Catch The Star Winds,A Bertram Chandler
The Broken Cycle,A Bertram Chandler
Bring Back Yesterday,A Bertram Chandler
The Big Black Mark,A Bertram Chandler
Beyond The Galactic Rim,A Bertram Chandler
The Anarch Lords,A Bertram Chandler
Alternate Orbits,A Bertram Chandler
Empress Of Outer Space,A Bertram Chandler
Contraband From Otherspace,A Bertram Chandler
The Bitter Pill,A Bertram Chandler
The Rim Of Space,A Bertram Chandler
Rendezvous On A Lost World,A Bertram Chandler
The Last Legends Of Earth,AA Attanasio
In Other Worlds,AA Attanasio
Arc Of The Dream,AA Attanasio
Remake,Connie Willis
Rose Madder,Stephen King
Gerald's Game,Stephen King
The Eyes Of The Dragon,Stephen King
Cycle Of The Werewolf,Stephen King
Carrie,Stephen King
A For Andromeda,John Elliot
Andromeda Breakthrough,John Elliot
Young Blood,Brian Stableford
Yesterday's Children,David Gerrold
Yendi,Steven Brust
The Years Of The City,Frederik Pohl
The Year Of The Quiet Sun,Wilson Tucker
Yarrow,Charles DE Lint
Xenocide,Orson Scott Card
"X, Y",Michael Blumlein
Wyvern,AA Attanasio
Wyrms,Orson Scott Card
Wyrd Sisters,Terry Pratchett
Pyramids,Terry Pratchett
The Worm Ouroboros,ER Eddison
The Mezentian Gate,ER Eddison
A Fish Dinner In Memison,ER Eddison
Mistress Of Mistresses,ER Eddison
Styrbiorn The Strong,ER Eddison
Worlds,Joe Haldeman
Worlds Of The Imperium,Keith Laumer
The Other Side Of Time,Keith Laumer
Assignment In Nowhere,Keith Laumer
Zone Yellow,Keith Laumer
Worlds Enough And Time,Joe Haldeman
Worlds Apart,Joe Haldeman
World's End,Joan D Vinge
The Universe Maker,AE Van Vogt
The World Of Null-A,AE Van Vogt
The Pawns Of Null-A,AE Van Vogt
Null-A Three,AE Van Vogt
The World At The End Of Time,Frederik Pohl
A World Out Of Time,Larry Niven
The World Menders,Lloyd Biggle
The World Inside,Robert Silverberg
The Wolf's Hour,Robert R Mccammon
Wolf Flow,KW Jeter
Wizard,John Varley
The Wizard's Apprentice,SP Somtow
Wizard Of The Pigeons,Megan Lindholm
The Wonderful Wizard Of Oz,L Frank Baum
Ozma Of Oz,L Frank Baum
Dorothy And The Wizard In Oz,L Frank Baum
The Emerald City Of Oz,L Frank Baum
The Patchwork Girl Of Oz,L Frank Baum
The Scarecrow Of Oz,L Frank Baum
